epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,9650.73,0.44565,0.32653,0.93395,0.9533,0.93278,0.97294,0.86797,0.36217,0.19084,0.86872,0.004852,0.004852,0.004852
28,10009,0.44242,0.32405,0.93285,0.93565,0.9497,0.98042,0.87447,0.36187,0.18927,0.86907,0.004654,0.004654,0.004654
29,10367.7,0.43769,0.31787,0.9322,0.93954,0.95085,0.9801,0.87228,0.35953,0.18868,0.86848,0.004456,0.004456,0.004456
30,10720.6,0.43625,0.31604,0.93137,0.9578,0.93534,0.97122,0.86854,0.3582,0.18859,0.86805,0.004258,0.004258,0.004258
31,11072.6,0.43272,0.31381,0.93036,0.95433,0.93746,0.97207,0.87134,0.35694,0.18782,0.86802,0.00406,0.00406,0.00406
32,11430,0.43121,0.31157,0.92809,0.95592,0.93713,0.96728,0.86556,0.35578,0.18657,0.8672,0.003862,0.003862,0.003862
33,11788.2,0.42815,0.30836,0.92768,0.9253,0.95339,0.96897,0.86714,0.35572,0.1859,0.86687,0.003664,0.003664,0.003664
34,12150.9,0.42534,0.30634,0.92558,0.92914,0.95173,0.9746,0.87391,0.35477,0.185,0.86646,0.003466,0.003466,0.003466
35,12512.3,0.42265,0.30347,0.92627,0.93088,0.95172,0.97528,0.87196,0.35432,0.1852,0.86616,0.003268,0.003268,0.003268
36,12874.5,0.41879,0.30096,0.92452,0.95312,0.94095,0.97505,0.87108,0.35346,0.18418,0.86624,0.00307,0.00307,0.00307
37,13232.6,0.41504,0.29797,0.92362,0.95185,0.94162,0.98009,0.87444,0.35252,0.18379,0.86637,0.002872,0.002872,0.002872
38,13589.8,0.41063,0.2922,0.92247,0.94895,0.94305,0.98041,0.87589,0.35178,0.18399,0.86617,0.002674,0.002674,0.002674
39,13944.9,0.40854,0.29148,0.92254,0.94489,0.94607,0.98013,0.87663,0.35097,0.18336,0.86601,0.002476,0.002476,0.002476
40,14301.7,0.40677,0.28839,0.92007,0.94533,0.94567,0.98013,0.87651,0.3501,0.18353,0.86573,0.002278,0.002278,0.002278
41,14663.7,0.36547,0.20841,0.90544,0.95472,0.94047,0.97578,0.87416,0.34947,0.18295,0.86573,0.00208,0.00208,0.00208
42,15022.6,0.36054,0.20609,0.90497,0.95471,0.94137,0.97382,0.87351,0.34866,0.18256,0.86559,0.001882,0.001882,0.001882
